X,Y,Z
-72.897083050025941,20.0870834534888658,76.6074371337890625
-72.8887497167259397,20.0870834534888658,77.3293838500976562
-72.8804163834259384,20.0870834534888658,78.2405014038085938
-72.8720830501259371,20.0870834534888658,79.0920791625976562
-72.8637497168259358,20.0870834534888658,77.3878860473632812
-72.8554163835259345,20.0870834534888658,77.4612884521484375
-72.8470830502259332,20.0870834534888658,87.5802230834960938
-72.8387497169259461,20.0870834534888658,86.764434814453125
-72.8304163836259448,20.0870834534888658,87.1814498901367188
-72.8220830503259435,20.0870834534888658,81.2281875610351562
-72.8137497170259422,20.0870834534888658,79.597503662109375
-72.8054163837259409,20.0870834534888658,86.3388900756835938
-72.7970830504259396,20.0870834534888658,84.5248184204101562
-72.7887497171259383,20.0870834534888658,85.23919677734375
-72.9387497165259333,20.0787501201888681,87.29345703125
-72.9304163832259462,20.0787501201888681,88.9358062744140625
-72.9220830499259449,20.0787501201888681,85.2217254638671875
-72.9137497166259436,20.0787501201888681,82.7847442626953125
-72.9054163833259423,20.0787501201888681,83.8018417358398438
-72.897083050025941,20.0787501201888681,78.0825271606445312
-72.8887497167259397,20.0787501201888681,76.4767837524414062
-72.8804163834259384,20.0787501201888681,77.2034149169921875
-72.8720830501259371,20.0787501201888681,79.0801239013671875
-72.8637497168259358,20.0787501201888681,86.2148361206054688
-72.8554163835259345,20.0787501201888681,82.0783233642578125
-72.8470830502259332,20.0787501201888681,95.0358810424804688
-72.8387497169259461,20.0787501201888681,90.855712890625
-72.8304163836259448,20.0787501201888681,105.682395935058594
-72.8220830503259435,20.0787501201888681,108.998626708984375
-72.8137497170259422,20.0787501201888681,113.140586853027344
-72.8054163837259409,20.0787501201888681,107.636405944824219
-72.7970830504259396,20.0787501201888681,99.4583511352539062
-72.7887497171259383,20.0787501201888681,103.643936157226562
-72.780416383825937,20.0787501201888681,104.926185607910156
-72.7720830505259357,20.0787501201888681,106.167709350585938
-72.9720830497259385,20.0704167868888668,94.1980438232421875
-72.9637497164259372,20.0704167868888668,98.1216659545898438
-72.9554163831259359,20.0704167868888668,94.8355178833007812
-72.9470830498259346,20.0704167868888668,90.4039535522460938
-72.9387497165259333,20.0704167868888668,88.6521987915039062
-72.9304163832259462,20.0704167868888668,89.9323043823242188
-72.9220830499259449,20.0704167868888668,94.4492950439453125
-72.9137497166259436,20.0704167868888668,88.9472274780273438
-72.9054163833259423,20.0704167868888668,89.1634979248046875
-72.897083050025941,20.0704167868888668,87.8280715942382812
-72.8887497167259397,20.0704167868888668,91.3051300048828125
